prob_SI	reg_202101	reg_202103	b2_202101	b2_202103	gan_202101	gan_202103	regacum_202101	regacum_202103	ganacum_202101	ganacum_202103
0.636363636363636	11	11	3	1	218000	58000	11	11	218000	58000
0.461538461538462	13	9	2	1	134000	62000	24	20	352000	120000
0.361370716510903	321	304	61	49	4238000	3312000	345	324	4590000	3432000
0.333333333333333	9	15	0	1	-18000	50000	354	339	4572000	3482000
0.3	20	22	3	0	2e+05	-44000	374	361	4772000	3438000
0.263157894736842	38	43	2	4	84000	234000	412	404	4856000	3672000
0.25	12	4	1	0	56000	-8000	424	408	4912000	3664000
0.235294117647059	17	15	2	0	126000	-30000	441	423	5038000	3634000
0.222222222222222	18	24	4	1	284000	32000	459	447	5322000	3666000
0.214285714285714	14	17	2	1	132000	46000	473	464	5454000	3712000
0.209737827715356	267	213	44	14	2986000	694000	740	677	8440000	4406000
0.204152249134948	867	877	107	100	6826000	6246000	1607	1554	15266000	10652000
0.2	10	9	0	0	-20000	-18000	1617	1563	15246000	10634000
0.19047619047619	21	36	3	0	198000	-72000	1638	1599	15444000	10562000
0.176470588235294	17	25	2	0	126000	-50000	1655	1624	15570000	10512000
0.1625	400	394	28	25	1440000	1212000	2055	2018	17010000	11724000
0.153846153846154	26	32	1	0	28000	-64000	2081	2050	17038000	11660000
0.145454545454545	110	89	7	1	340000	-98000	2191	2139	17378000	11562000
0.125	40	34	2	0	80000	-68000	2231	2173	17458000	11494000
0.117647058823529	17	19	1	0	46000	-38000	2248	2192	17504000	11456000
0.116022099447514	362	281	29	12	1596000	398000	2610	2473	19100000	11854000
0.111111111111111	18	34	2	0	124000	-68000	2628	2507	19224000	11786000
0.103896103896104	231	251	12	6	498000	-22000	2859	2758	19722000	11764000
0.1	30	23	2	0	1e+05	-46000	2889	2781	19822000	11718000
0.1	10	13	0	0	-20000	-26000	2899	2794	19802000	11692000
0.0932203389830509	472	575	29	34	1376000	1570000	3371	3369	21178000	13262000
0.0909090909090909	11	1	0	0	-22000	-2000	3382	3370	21156000	13260000
0.0883233532934132	668	786	26	67	744000	3788000	4050	4156	21900000	17048000
0.0846560846560847	189	340	4	10	-58000	120000	4239	4496	21842000	17168000
0.0833333333333333	852	768	39	38	1416000	1504000	5091	5264	23258000	18672000
0.0779816513761468	872	797	35	33	1056000	1046000	5963	6061	24314000	19718000
0.0674157303370787	623	539	29	13	1074000	-38000	6586	6600	25388000	19680000
0.0638297872340426	94	111	2	3	-28000	18000	6680	6711	25360000	19698000
0.0625	16	28	1	0	48000	-56000	6696	6739	25408000	19642000
0.0621761658031088	193	186	9	5	334000	28000	6889	6925	25742000	19670000
0.0578512396694215	968	806	32	18	624000	-172000	7857	7731	26366000	19498000
0.0551181102362205	127	130	2	3	-94000	-20000	7984	7861	26272000	19478000
0.0481622306717364	789	563	24	13	342000	-86000	8773	8424	26614000	19392000
0.0467289719626168	107	107	4	0	106000	-214000	8880	8531	26720000	19178000
0.0440180586907449	886	769	22	22	-12000	222000	9766	9300	26708000	19400000
0.0423728813559322	118	112	3	0	4000	-224000	9884	9412	26712000	19176000
0.0359281437125749	167	145	2	6	-174000	190000	10051	9557	26538000	19366000
0.0333333333333333	750	932	14	15	-380000	-664000	10801	10489	26158000	18702000
0.0267857142857143	112	240	0	0	-224000	-480000	10913	10729	25934000	18222000
0.0262639527248851	1523	1491	21	40	-1366000	218000	12436	12220	24568000	18440000
0.0240963855421687	83	117	1	0	-86000	-234000	12519	12337	24482000	18206000
0.0228070175438597	570	560	8	9	-5e+05	-4e+05	13089	12897	23982000	17806000
0.0227272727272727	44	23	1	0	-8000	-46000	13133	12920	23974000	17760000
0.0195822454308094	766	765	11	11	-652000	-650000	13899	13685	23322000	17110000
0.0186777349540468	3373	3576	34	62	-4026000	-2192000	17272	17261	19296000	14918000
0.012979683972912	1772	1713	8	16	-2904000	-2146000	19044	18974	16392000	12772000
0.0112359550561798	1691	1755	12	8	-2422000	-2870000	20735	20729	13970000	9902000
0.0100755667506297	794	733	6	5	-1108000	-1066000	21529	21462	12862000	8836000
0.00946372239747634	317	329	3	2	-394000	-498000	21846	21791	12468000	8338000
0.00784313725490196	255	334	2	0	-350000	-668000	22101	22125	12118000	7670000
0.00600600600600601	333	358	0	3	-666000	-476000	22434	22483	11452000	7194000
0.00595744680851064	3525	3287	14	18	-5930000	-5134000	25959	25770	5522000	2060000
0.00591016548463357	846	875	4	13	-1372000	-710000	26805	26645	4150000	1350000
0.00588235294117647	340	346	0	5	-680000	-292000	27145	26991	3470000	1058000
0.0055452865064695	6492	6218	22	46	-11224000	-8756000	33637	33209	-7754000	-7698000
0.00529801324503311	755	665	2	8	-1350000	-690000	34392	33874	-9104000	-8388000
0.0045766590389016	437	523	1	7	-794000	-486000	34829	34397	-9898000	-8874000
0.00456482045039562	16430	17409	43	89	-29420000	-27698000	51259	51806	-39318000	-36572000
0.00415512465373961	722	711	3	10	-1204000	-622000	51981	52517	-40522000	-37194000
0.00191043616228993	30883	29680	31	67	-59286000	-5.4e+07	82864	82197	-99808000	-91194000
0.000805152979066023	2484	2511	1	7	-4888000	-4462000	85348	84708	-104696000	-95656000
0.000552675211200884	75994	78192	25	38	-149988000	-153344000	161342	162900	-254684000	-2.49e+08
